"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2021;1;Grupo Secundário;Conglomerado;;ABC-BRASIL;;2;3;4;9;26230;24698;3810;1692158046.452431
2021;1;Grupo Secundário;Conglomerado;;AGIBANK;54.79;58;140;73;271;1058431;790848;693843;1692158046.452434
2021;1;Grupo Secundário;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;3;3;0;6;420692;129;420563;1692158046.452437
2021;1;Grupo Secundário;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;1;1;0;2;12645;4979;10112;1692158046.452441
2021;1;Grupo Secundário;Conglomerado;;ALFA;;14;44;15;73;412135;268186;145105;1692158046.452444
2021;1;Grupo Secundário;Conglomerado;;ANDBANK;;0;2;1;3;4383;4382;52;1692158046.452446
2021;1;Grupo Secundário;Banco/financeira;3532415;BANCO ABN AMRO S.A.;;0;0;3;3;98;71;31;1692158046.452449
2021;1;Grupo Secundário;Banco/financeira;54403563;BANCO ARBI S.A.;;1;0;0;1;18087;9312;8838;1692158046.452453
2021;1;Grupo Secundário;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;;0;1;2;3;28352;1238;27399;1692158046.452455
2021;1;Grupo Secundário;Banco/financeira;8357240;BANCO CSF S.A.;22.53;165;94;51;310;7322283;;7322283;1692158046.452458
2021;1;Grupo Secundário;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.;;4;1;7;12;540684;459756;194221;1692158046.452461
2021;1;Grupo Secundário;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.;;0;1;0;1;469;452;32;1692158046.452464
2021;1;Grupo Secundário;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.;;0;1;0;1;36713;3;36711;1692158046.452467
2021;1;Grupo Secundário;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;484.31;143;36;54;233;295260;168966;177621;1692158046.45247
2021;1;Grupo Secundário;Banco/financeira;27098060;BANCO DIGIO S.A.;25.71;40;100;64;204;1555646;594244;1515429;1692158046.452473
2021;1;Grupo Secundário;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;;11;25;9;45;1066464;834281;599884;1692158046.452476
2021;1;Grupo Secundário;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;46.2;39;10;12;61;844056;758236;347013;1692158046.452478
2021;1;Grupo Secundário;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;;19;8;20;47;8512373;7928582;3161435;1692158046.452481
2021;1;Grupo Secundário;Banco/financeira;58616418;BANCO FIBRA S.A.;;1;2;2;5;163619;3832;160325;1692158046.452484
2021;1;Grupo Secundário;Banco/financeira;62237425;BANCO FIDIS S/A;;0;2;0;2;6907;185;6739;1692158046.452487
2021;1;Grupo Secundário;Banco/financeira;4866275;BANCO INBURSA S.A.;;1;5;1;7;12367;12;12357;1692158046.452489
2021;1;Grupo Secundário;Banco/financeira;91884981;BANCO JOHN DEERE S.A.;;0;1;0;1;15036;254;14848;1692158046.452492
2021;1;Grupo Secundário;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.;;0;1;0;1;10071;4711;5719;1692158046.452495
2021;1;Grupo Secundário;Banco/financeira;78632767;BANCO OURINVEST S.A.;;0;1;0;1;42561;40252;2342;1692158046.452498
2021;1;Grupo Secundário;Banco/financeira;61820817;BANCO PAULISTA S.A.;;0;0;1;1;26002;7898;18366;1692158046.452501
2021;1;Grupo Secundário;Banco/financeira;795423;BANCO SEMEAR S.A.;;4;0;1;5;290731;2996;287950;1692158046.452504
2021;1;Grupo Secundário;Banco/financeira;11970623;BANCO SENFF S.A.;;8;12;2;22;77251;106;77156;1692158046.452508
2021;1;Grupo Secundário;Banco/financeira;7679404;BANCO TOPÁZIO S.A.;;1;4;1;6;35261;16292;21125;1692158046.452511
2021;1;Grupo Secundário;Banco/financeira;3215790;BANCO TOYOTA DO BRASIL S.A.;;0;0;1;1;164435;15283;150113;1692158046.452514
2021;1;Grupo Secundário;Banco/financeira;17351180;BANCO TRIANGULO S.A.;;3;8;16;27;1953437;248674;1790932;1692158046.452517
2021;1;Grupo Secundário;Banco/financeira;57839805;BANCO TRICURY S.A.;;0;1;1;2;685;666;149;1692158046.45252
2021;1;Grupo Secundário;Conglomerado;;BANCOOB;;19;31;18;68;4576738;2242360;2872105;1692158046.452523
2021;1;Grupo Secundário;Conglomerado;;BANESTES;;21;22;5;48;1232727;1181686;473114;1692158046.452526
2021;1;Grupo Secundário;Conglomerado;;BANRISUL;24.99;127;349;60;536;5080031;3756328;3950764;1692158046.452529
2021;1;Grupo Secundário;Conglomerado;;BARIGUI;;7;15;26;48;42559;15683;29761;1692158046.452532
2021;1;Top 10;Conglomerado;;BB;21.25;1463;2782;2225;6470;68844801;65031349;30167056;1692158046.452536
2021;1;Grupo Secundário;Conglomerado;;BMG;165.2;1190;644;251;2085;7202992;3421046;5072090;1692158046.452539
2021;1;Grupo Secundário;Conglomerado;;BNP PARIBAS;181.98;447;250;90;787;2456247;12581;2444170;1692158046.452541
2021;1;Grupo Secundário;Conglomerado;;BNY MELLON;;0;0;1;1;3744;3744;;1692158046.452544
2021;1;Top 10;Conglomerado;;BRADESCO;22.78;2248;3913;2591;8752;98648524;89718703;43974719;1692158046.452547
2021;1;Grupo Secundário;Conglomerado;;BRB;107.93;120;149;140;409;1111807;999840;498848;1692158046.452551
2021;1;Grupo Secundário;Conglomerado;;BTG PACTUAL;;29;44;60;133;766998;679113;147461;1692158046.452554
2021;1;Grupo Secundário;Conglomerado;;C6 BANK;979.53;5940;598;207;6745;6064085;5139889;1748590;1692158046.452557
2021;1;Top 10;Conglomerado;;CAIXA ECONOMICA FEDERAL;36.2;5263;6341;4920;16524;145367310;143826538;22933543;1692158046.45256
2021;1;Grupo Secundário;Banco/financeira;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;1;2;1;4;71736;65584;11640;1692158046.452563
2021;1;Grupo Secundário;Conglomerado;;CCB;;10;126;15;151;224649;3762;221472;1692158046.452566
2021;1;Grupo Secundário;Conglomerado;;CITIBANK;;1;11;2;14;17612;16889;1620;1692158046.452569
2021;1;Grupo Secundário;Conglomerado;;COLOMBO;;0;3;1;4;331101;;331101;1692158046.452572
2021;1;Grupo Secundário;Conglomerado;;CREFISA;;25;184;52;261;2255383;1184391;1562138;1692158046.452576
2021;1;Grupo Secundário;Conglomerado;;DAYCOVAL;274.48;331;400;113;844;1205882;138048;1094686;1692158046.452579
2021;1;Grupo Secundário;Banco/financeira;62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO;;0;1;0;1;2112;2093;164;1692158046.452582
2021;1;Grupo Secundário;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;620.55;70;151;3;224;112802;664;112141;1692158046.452585
2021;1;Grupo Secundário;Banco/financeira;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;;0;2;3;5;87041;1715;85381;1692158046.452588
2021;1;Grupo Secundário;Conglomerado;;FINAXIS;;0;1;0;1;4066;4066;;1692158046.452592
2021;1;Grupo Secundário;Conglomerado;;GENIAL;;5;3;2;10;16008;16003;35;1692158046.452595
2021;1;Grupo Secundário;Conglomerado;;GM;;5;14;23;42;309105;473;308711;1692158046.452598
2021;1;Grupo Secundário;Conglomerado;;GRUPO BONSUCESSO - BS2;105.42;82;162;83;327;777801;771754;17097;1692158046.452601
2021;1;Grupo Secundário;Conglomerado;;GRUPO ZEMA;;1;4;4;9;439232;570;438672;1692158046.45262
2021;1;Grupo Secundário;Conglomerado;;HERVAL - HS;;3;7;0;10;213321;13314;202222;1692158046.452623
2021;1;Grupo Secundário;Conglomerado;;HONDA;;0;3;6;9;443975;101;443942;1692158046.452626
2021;1;Grupo Secundário;Conglomerado;;INDUSTRIAL DO BRASIL;;17;22;7;46;65443;4487;61782;1692158046.452629
2021;1;Grupo Secundário;Conglomerado;;INDUSVAL;;1;0;3;4;5298;4796;785;1692158046.452632
2021;1;Top 10;Conglomerado;;INTER;129.26;1245;582;362;2189;9631304;9500388;1557039;1692158046.452636
2021;1;Top 10;Conglomerado;;ITAU;19.72;1636;3086;2156;6878;82955510;63980098;49391035;1692158046.452639
2021;1;Grupo Secundário;Banco/financeira;4230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO;;2;2;3;7;49879;;49879;1692158046.452642
2021;1;Grupo Secundário;Conglomerado;;JP MORGAN CHASE;;0;1;0;1;3931;3914;129;1692158046.452645
2021;1;Grupo Secundário;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;1;0;0;1;4;4;;1692158046.452647
2021;1;Grupo Secundário;Conglomerado;;LECCA;;3;3;1;7;26060;418;25643;1692158046.45265
2021;1;Grupo Secundário;Conglomerado;;MÁXIMA;568.89;57;44;18;119;100194;4444;95896;1692158046.452654
2021;1;Grupo Secundário;Conglomerado;;MERCANTIL DO BRASIL;65.23;227;104;38;369;3479596;2945439;1733419;1692158046.452658
2021;1;Grupo Secundário;Conglomerado;;MERCEDES-BENZ;;1;0;4;5;20651;252;20473;1692158046.452662
2021;1;Top 10;Banco/financeira;9464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2.77;30;91;50;171;10797493;208;10797426;1692158046.452667
2021;1;Grupo Secundário;Conglomerado;;MODAL;;25;53;34;112;1064679;1064679;;1692158046.452674
2021;1;Grupo Secundário;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;;11;22;0;33;91784;3074;89140;1692158046.452677
2021;1;Top 10;Conglomerado;;NUBANK;0.0;0;8;11;19;13774766;12716441;1936741;1692158046.452681
2021;1;Grupo Secundário;Conglomerado;;OMNI;6.81;32;51;53;136;4695792;9119;4690354;1692158046.452684
